epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
158,2948.78,2.02273,1.47544,1.96969,0.87214,0.58824,0.71685,0.30528,2.14515,1.65367,2.38223,0.0009638,0.0009638,0.0009638
159,2966.78,1.85476,1.38586,1.96841,1,0.58067,0.7303,0.29166,2.15626,1.60163,2.35752,0.0009572,0.0009572,0.0009572
160,2986.2,1.87347,1.48444,1.95099,0.773,0.60167,0.70245,0.27621,2.208,1.61798,2.38001,0.0009506,0.0009506,0.0009506
161,3004.73,1.76104,1.41508,1.9586,0.773,0.60167,0.70245,0.27621,2.208,1.61798,2.38001,0.000944,0.000944,0.000944
162,3022.72,1.73583,1.37645,1.79823,0.82626,0.64706,0.72287,0.31825,2.10457,1.56664,2.25723,0.0009374,0.0009374,0.0009374
163,3041.13,1.93847,1.5413,1.98944,0.79511,0.68574,0.76053,0.35653,2.04326,1.51855,2.20875,0.0009308,0.0009308,0.0009308
164,3060.3,1.81033,1.45893,1.91918,0.71744,0.64706,0.74435,0.33046,2.07251,1.48564,2.26667,0.0009242,0.0009242,0.0009242
165,3078.6,1.91095,1.46715,1.99952,0.71744,0.64706,0.74435,0.33046,2.07251,1.48564,2.26667,0.0009176,0.0009176,0.0009176
166,3096.7,1.87739,1.49182,2.03583,0.6675,0.59059,0.69188,0.2987,2.13394,1.41948,2.31772,0.000911,0.000911,0.000911
167,3114.9,1.9068,1.47253,2.02933,0.90811,0.58189,0.68549,0.2648,2.18044,1.48413,2.36807,0.0009044,0.0009044,0.0009044
168,3133.42,1.87912,1.56176,2.01695,0.94996,0.64706,0.75694,0.28203,2.13245,1.49533,2.33968,0.0008978,0.0008978,0.0008978
169,3151.43,1.79933,1.45853,1.88967,0.94996,0.64706,0.75694,0.28203,2.13245,1.49533,2.33968,0.0008912,0.0008912,0.0008912
170,3169.82,1.77776,1.53633,2.04006,0.959,0.70588,0.82411,0.36887,1.99227,1.4062,2.20949,0.0008846,0.0008846,0.0008846
171,3188.25,1.64555,1.19537,1.81665,0.92113,0.70588,0.82506,0.40917,1.95461,1.38689,2.17908,0.000878,0.000878,0.000878
172,3206.59,1.78684,1.29125,1.9184,0.92288,0.70411,0.81826,0.39417,1.97766,1.38742,2.20049,0.0008714,0.0008714,0.0008714
173,3225.04,1.62093,1.29122,1.80448,0.92288,0.70411,0.81826,0.39417,1.97766,1.38742,2.20049,0.0008648,0.0008648,0.0008648
174,3243.31,1.6891,1.39315,1.87014,0.91148,0.70588,0.80891,0.39279,1.96621,1.39786,2.18937,0.0008582,0.0008582,0.0008582
175,3261.63,1.77256,1.24799,1.85296,0.97611,0.58824,0.77898,0.35735,1.98244,1.37731,2.17242,0.0008516,0.0008516,0.0008516
176,3280.22,1.76951,1.28741,1.80505,0.98548,0.58824,0.77222,0.36022,2.00316,1.34401,2.18501,0.000845,0.000845,0.000845
177,3298.39,1.76775,1.35893,1.96637,0.98548,0.58824,0.77222,0.36022,2.00316,1.34401,2.18501,0.0008384,0.0008384,0.0008384
178,3316.78,1.88548,1.45165,2.07057,0.9703,0.58824,0.78221,0.3745,2.05419,1.28208,2.19108,0.0008318,0.0008318,0.0008318
179,3335.15,1.65911,1.26745,1.8182,0.98114,0.58824,0.7888,0.39861,2.04648,1.26955,2.19446,0.0008252,0.0008252,0.0008252
180,3353.46,1.79331,1.3136,1.87221,0.73478,0.65215,0.75722,0.38261,2.01266,1.35622,2.17493,0.0008186,0.0008186,0.0008186
181,3371.75,1.73541,1.29164,1.89647,0.73478,0.65215,0.75722,0.38261,2.01266,1.35622,2.17493,0.000812,0.000812,0.000812
